sample_id,split,label,video_path,audio_path,transcript
1049_IEO_FEA_LO,test,2,data/CREMA_D_repo/VideoFlash/1049_IEO_FEA_LO.flv,data/CREMA_D_repo/AudioWAV/1049_IEO_FEA_LO.wav,It's eleven o'clock
1069_TAI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1069_TAI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1069_TAI_DIS_XX.wav,The airplane is almost full
1079_TIE_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1079_TIE_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1079_TIE_SAD_XX.wav,That is exactly what happened
1009_IWW_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1009_IWW_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1009_IWW_DIS_XX.wav,I wonder what this is about
1079_IEO_ANG_MD,test,0,data/CREMA_D_repo/VideoFlash/1079_IEO_ANG_MD.flv,data/CREMA_D_repo/AudioWAV/1079_IEO_ANG_MD.wav,It's eleven o'clock
1059_TAI_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1059_TAI_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1059_TAI_FEA_XX.wav,The airplane is almost full
1009_TSI_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1009_TSI_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1009_TSI_HAP_XX.wav,The surface is slick
1019_IWW_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1019_IWW_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1019_IWW_DIS_XX.wav,I wonder what this is about
1039_TIE_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1039_TIE_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1039_TIE_FEA_XX.wav,That is exactly what happened
1079_DFA_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1079_DFA_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1079_DFA_HAP_XX.wav,Don't forget a jacket
1049_IWL_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1049_IWL_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1049_IWL_NEU_XX.wav,I would like a new alarm clock
1009_WSI_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1009_WSI_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1009_WSI_SAD_XX.wav,We'll stop in a couple of minutes
1059_WSI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1059_WSI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1059_WSI_DIS_XX.wav,We'll stop in a couple of minutes
1009_ITS_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1009_ITS_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1009_ITS_DIS_XX.wav,I think I've seen this before
1079_ITS_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1079_ITS_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1079_ITS_SAD_XX.wav,I think I've seen this before
1059_IWL_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1059_IWL_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1059_IWL_ANG_XX.wav,I would like a new alarm clock
1089_TIE_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1089_TIE_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1089_TIE_DIS_XX.wav,That is exactly what happened
1059_IWW_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1059_IWW_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1059_IWW_NEU_XX.wav,I wonder what this is about
1029_MTI_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1029_MTI_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1029_MTI_NEU_XX.wav,Maybe tomorrow it will be cold
1089_ITS_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1089_ITS_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1089_ITS_FEA_XX.wav,I think I've seen this before
1019_IOM_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1019_IOM_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1019_IOM_ANG_XX.wav,I'm on my way to the meeting
1009_TAI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1009_TAI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1009_TAI_DIS_XX.wav,The airplane is almost full
1059_ITH_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1059_ITH_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1059_ITH_NEU_XX.wav,I think I have a doctor's appointment
1019_IEO_SAD_MD,test,5,data/CREMA_D_repo/VideoFlash/1019_IEO_SAD_MD.flv,data/CREMA_D_repo/AudioWAV/1019_IEO_SAD_MD.wav,It's eleven o'clock
1019_IEO_HAP_LO,test,3,data/CREMA_D_repo/VideoFlash/1019_IEO_HAP_LO.flv,data/CREMA_D_repo/AudioWAV/1019_IEO_HAP_LO.wav,It's eleven o'clock
1059_MTI_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1059_MTI_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1059_MTI_SAD_XX.wav,Maybe tomorrow it will be cold
1089_IWL_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1089_IWL_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1089_IWL_SAD_XX.wav,I would like a new alarm clock
1049_ITH_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1049_ITH_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1049_ITH_HAP_XX.wav,I think I have a doctor's appointment
1039_ITS_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1039_ITS_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1039_ITS_SAD_XX.wav,I think I've seen this before
1009_IEO_FEA_LO,test,2,data/CREMA_D_repo/VideoFlash/1009_IEO_FEA_LO.flv,data/CREMA_D_repo/AudioWAV/1009_IEO_FEA_LO.wav,It's eleven o'clock
1009_DFA_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1009_DFA_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1009_DFA_SAD_XX.wav,Don't forget a jacket
1019_IEO_HAP_MD,test,3,data/CREMA_D_repo/VideoFlash/1019_IEO_HAP_MD.flv,data/CREMA_D_repo/AudioWAV/1019_IEO_HAP_MD.wav,It's eleven o'clock
1039_IEO_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1039_IEO_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1039_IEO_NEU_XX.wav,It's eleven o'clock
1039_IEO_SAD_MD,test,5,data/CREMA_D_repo/VideoFlash/1039_IEO_SAD_MD.flv,data/CREMA_D_repo/AudioWAV/1039_IEO_SAD_MD.wav,It's eleven o'clock
1089_WSI_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1089_WSI_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1089_WSI_SAD_XX.wav,We'll stop in a couple of minutes
1039_WSI_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1039_WSI_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1039_WSI_FEA_XX.wav,We'll stop in a couple of minutes
1079_TAI_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1079_TAI_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1079_TAI_SAD_XX.wav,The airplane is almost full
1029_IWL_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1029_IWL_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1029_IWL_NEU_XX.wav,I would like a new alarm clock
1049_TIE_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1049_TIE_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1049_TIE_FEA_XX.wav,That is exactly what happened
1069_IOM_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1069_IOM_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1069_IOM_HAP_XX.wav,I'm on my way to the meeting
1049_IEO_FEA_HI,test,2,data/CREMA_D_repo/VideoFlash/1049_IEO_FEA_HI.flv,data/CREMA_D_repo/AudioWAV/1049_IEO_FEA_HI.wav,It's eleven o'clock
1029_IEO_HAP_HI,test,3,data/CREMA_D_repo/VideoFlash/1029_IEO_HAP_HI.flv,data/CREMA_D_repo/AudioWAV/1029_IEO_HAP_HI.wav,It's eleven o'clock
1029_IEO_DIS_LO,test,1,data/CREMA_D_repo/VideoFlash/1029_IEO_DIS_LO.flv,data/CREMA_D_repo/AudioWAV/1029_IEO_DIS_LO.wav,It's eleven o'clock
1089_TAI_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1089_TAI_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1089_TAI_NEU_XX.wav,The airplane is almost full
1029_WSI_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1029_WSI_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1029_WSI_ANG_XX.wav,We'll stop in a couple of minutes
1089_MTI_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1089_MTI_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1089_MTI_ANG_XX.wav,Maybe tomorrow it will be cold
1049_TAI_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1049_TAI_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1049_TAI_NEU_XX.wav,The airplane is almost full
1079_IWL_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1079_IWL_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1079_IWL_NEU_XX.wav,I would like a new alarm clock
1049_DFA_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1049_DFA_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1049_DFA_HAP_XX.wav,Don't forget a jacket
1059_TSI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1059_TSI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1059_TSI_DIS_XX.wav,The surface is slick
1019_MTI_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1019_MTI_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1019_MTI_SAD_XX.wav,Maybe tomorrow it will be cold
1069_IWW_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1069_IWW_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1069_IWW_DIS_XX.wav,I wonder what this is about
1029_ITH_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1029_ITH_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1029_ITH_FEA_XX.wav,I think I have a doctor's appointment
1049_IWW_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1049_IWW_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1049_IWW_NEU_XX.wav,I wonder what this is about
1039_IWW_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1039_IWW_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1039_IWW_ANG_XX.wav,I wonder what this is about
1039_IWW_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1039_IWW_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1039_IWW_FEA_XX.wav,I wonder what this is about
1079_IOM_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1079_IOM_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1079_IOM_SAD_XX.wav,I'm on my way to the meeting
1019_MTI_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1019_MTI_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1019_MTI_FEA_XX.wav,Maybe tomorrow it will be cold
1079_ITH_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1079_ITH_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1079_ITH_DIS_XX.wav,I think I have a doctor's appointment
1069_ITH_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1069_ITH_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1069_ITH_NEU_XX.wav,I think I have a doctor's appointment
1039_IEO_DIS_LO,test,1,data/CREMA_D_repo/VideoFlash/1039_IEO_DIS_LO.flv,data/CREMA_D_repo/AudioWAV/1039_IEO_DIS_LO.wav,It's eleven o'clock
1089_IWW_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1089_IWW_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1089_IWW_NEU_XX.wav,I wonder what this is about
1009_ITH_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1009_ITH_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1009_ITH_ANG_XX.wav,I think I have a doctor's appointment
1049_IEO_DIS_HI,test,1,data/CREMA_D_repo/VideoFlash/1049_IEO_DIS_HI.flv,data/CREMA_D_repo/AudioWAV/1049_IEO_DIS_HI.wav,It's eleven o'clock
1019_TIE_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1019_TIE_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1019_TIE_DIS_XX.wav,That is exactly what happened
1059_DFA_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1059_DFA_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1059_DFA_HAP_XX.wav,Don't forget a jacket
1019_IEO_FEA_LO,test,2,data/CREMA_D_repo/VideoFlash/1019_IEO_FEA_LO.flv,data/CREMA_D_repo/AudioWAV/1019_IEO_FEA_LO.wav,It's eleven o'clock
1029_TSI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1029_TSI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1029_TSI_DIS_XX.wav,The surface is slick
1029_IOM_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1029_IOM_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1029_IOM_NEU_XX.wav,I'm on my way to the meeting
1009_IOM_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1009_IOM_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1009_IOM_HAP_XX.wav,I'm on my way to the meeting
1069_TSI_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1069_TSI_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1069_TSI_FEA_XX.wav,The surface is slick
1029_MTI_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1029_MTI_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1029_MTI_FEA_XX.wav,Maybe tomorrow it will be cold
1059_IEO_ANG_LO,test,0,data/CREMA_D_repo/VideoFlash/1059_IEO_ANG_LO.flv,data/CREMA_D_repo/AudioWAV/1059_IEO_ANG_LO.wav,It's eleven o'clock
1039_IOM_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1039_IOM_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1039_IOM_FEA_XX.wav,I'm on my way to the meeting
1049_IEO_ANG_LO,test,0,data/CREMA_D_repo/VideoFlash/1049_IEO_ANG_LO.flv,data/CREMA_D_repo/AudioWAV/1049_IEO_ANG_LO.wav,It's eleven o'clock
1089_IWW_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1089_IWW_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1089_IWW_ANG_XX.wav,I wonder what this is about
1029_ITH_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1029_ITH_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1029_ITH_DIS_XX.wav,I think I have a doctor's appointment
1009_IWW_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1009_IWW_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1009_IWW_SAD_XX.wav,I wonder what this is about
1079_TAI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1079_TAI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1079_TAI_DIS_XX.wav,The airplane is almost full
1089_IWW_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1089_IWW_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1089_IWW_HAP_XX.wav,I wonder what this is about
1079_DFA_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1079_DFA_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1079_DFA_FEA_XX.wav,Don't forget a jacket
1049_IEO_HAP_HI,test,3,data/CREMA_D_repo/VideoFlash/1049_IEO_HAP_HI.flv,data/CREMA_D_repo/AudioWAV/1049_IEO_HAP_HI.wav,It's eleven o'clock
1079_MTI_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1079_MTI_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1079_MTI_HAP_XX.wav,Maybe tomorrow it will be cold
1079_IEO_SAD_HI,test,5,data/CREMA_D_repo/VideoFlash/1079_IEO_SAD_HI.flv,data/CREMA_D_repo/AudioWAV/1079_IEO_SAD_HI.wav,It's eleven o'clock
1089_IWW_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1089_IWW_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1089_IWW_DIS_XX.wav,I wonder what this is about
1029_DFA_NEU_XX,test,4,data/CREMA_D_repo/VideoFlash/1029_DFA_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1029_DFA_NEU_XX.wav,Don't forget a jacket
1059_IWW_FEA_XX,test,2,data/CREMA_D_repo/VideoFlash/1059_IWW_FEA_XX.flv,data/CREMA_D_repo/AudioWAV/1059_IWW_FEA_XX.wav,I wonder what this is about
1049_IWW_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1049_IWW_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1049_IWW_DIS_XX.wav,I wonder what this is about
1019_IEO_ANG_MD,test,0,data/CREMA_D_repo/VideoFlash/1019_IEO_ANG_MD.flv,data/CREMA_D_repo/AudioWAV/1019_IEO_ANG_MD.wav,It's eleven o'clock
1019_IEO_HAP_HI,test,3,data/CREMA_D_repo/VideoFlash/1019_IEO_HAP_HI.flv,data/CREMA_D_repo/AudioWAV/1019_IEO_HAP_HI.wav,It's eleven o'clock
1029_DFA_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1029_DFA_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1029_DFA_HAP_XX.wav,Don't forget a jacket
1039_IWL_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1039_IWL_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1039_IWL_HAP_XX.wav,I would like a new alarm clock
1059_IWW_SAD_XX,test,5,data/CREMA_D_repo/VideoFlash/1059_IWW_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1059_IWW_SAD_XX.wav,I wonder what this is about
1079_IWL_HAP_XX,test,3,data/CREMA_D_repo/VideoFlash/1079_IWL_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1079_IWL_HAP_XX.wav,I would like a new alarm clock
1009_IWW_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1009_IWW_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1009_IWW_ANG_XX.wav,I wonder what this is about
1029_DFA_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1029_DFA_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1029_DFA_ANG_XX.wav,Don't forget a jacket
1059_IOM_ANG_XX,test,0,data/CREMA_D_repo/VideoFlash/1059_IOM_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1059_IOM_ANG_XX.wav,I'm on my way to the meeting
1059_IEO_HAP_LO,test,3,data/CREMA_D_repo/VideoFlash/1059_IEO_HAP_LO.flv,data/CREMA_D_repo/AudioWAV/1059_IEO_HAP_LO.wav,It's eleven o'clock
1059_IEO_DIS_LO,test,1,data/CREMA_D_repo/VideoFlash/1059_IEO_DIS_LO.flv,data/CREMA_D_repo/AudioWAV/1059_IEO_DIS_LO.wav,It's eleven o'clock
1059_TAI_DIS_XX,test,1,data/CREMA_D_repo/VideoFlash/1059_TAI_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1059_TAI_DIS_XX.wav,The airplane is almost full
1032_ITH_ANG_XX,train,0,data/CREMA_D_repo/VideoFlash/1032_ITH_ANG_XX.flv,data/CREMA_D_repo/AudioWAV/1032_ITH_ANG_XX.wav,I think I have a doctor's appointment
1062_TIE_SAD_XX,train,5,data/CREMA_D_repo/VideoFlash/1062_TIE_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1062_TIE_SAD_XX.wav,That is exactly what happened
1020_DFA_DIS_XX,train,1,data/CREMA_D_repo/VideoFlash/1020_DFA_DIS_XX.flv,data/CREMA_D_repo/AudioWAV/1020_DFA_DIS_XX.wav,Don't forget a jacket
1084_DFA_HAP_XX,train,3,data/CREMA_D_repo/VideoFlash/1084_DFA_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1084_DFA_HAP_XX.wav,Don't forget a jacket
1015_IWW_SAD_XX,train,5,data/CREMA_D_repo/VideoFlash/1015_IWW_SAD_XX.flv,data/CREMA_D_repo/AudioWAV/1015_IWW_SAD_XX.wav,I wonder what this is about
1001_IEO_ANG_MD,train,0,data/CREMA_D_repo/VideoFlash/1001_IEO_ANG_MD.flv,data/CREMA_D_repo/AudioWAV/1001_IEO_ANG_MD.wav,It's eleven o'clock
1053_WSI_NEU_XX,train,4,data/CREMA_D_repo/VideoFlash/1053_WSI_NEU_XX.flv,data/CREMA_D_repo/AudioWAV/1053_WSI_NEU_XX.wav,We'll stop in a couple of minutes
1001_IOM_HAP_XX,train,3,data/CREMA_D_repo/VideoFlash/1001_IOM_HAP_XX.flv,data/CREMA_D_repo/AudioWAV/1001_IOM_HAP_XX.wav,I'm on my way to the meeting
1083_IEO_SAD_LO,train,5,data/CREMA_D_repo/VideoFlash/1083_IEO_SAD_LO.flv,data/CREMA_D_repo/AudioWAV/1083_IEO_SAD_LO.wav,It's eleven o'clock
