source_group_id,speaker_cluster_id,role_label,role_confidence,witness_in_segment,witness_speaking_status,visual_target_role,visual_speaker_match,review_notes,corpus_exclusion_status,corpus_exclusion_reason
peYoD-JkAXE,SPEAKER_07,Defence,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kevin Reddington identified as defence counsel by manual audio/video review
peYoD-JkAXE,SPEAKER_06,Defence,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kevin Reddington identified as defence counsel by manual audio/video review
peYoD-JkAXE,SPEAKER_09,Prosecutor,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Shanan Buckingham identified as prosecutor by manual audio/video review
peYoD-JkAXE,SPEAKER_02,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Dr. Jennifer Tufts identified as witness by manual audio/video review
peYoD-JkAXE,SPEAKER_11,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Dr. Jennifer Tufts identified as witness by manual audio/video review
peYoD-JkAXE,SPEAKER_12,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Dr. Jennifer Tufts identified as witness by manual audio/video review
peYoD-JkAXE,SPEAKER_08,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Dr. Jennifer Tufts identified as witness by manual audio/video review
peYoD-JkAXE,SPEAKER_10,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Dr. Jennifer Tufts identified as witness by manual audio/video review
peYoD-JkAXE,SPEAKER_04,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Dr. Jennifer Tufts identified as witness by manual audio/video review
peYoD-JkAXE,SPEAKER_05,Judge,HIGH,NO,UNKNOWN,Judge,UNKNOWN,Judge William F. Sullivan identified by manual audio/video review
peYoD-JkAXE,SPEAKER_00,Other,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Other courtroom speaker; identity not resolved,,
93sfJyLzhqM,SPEAKER_21,Prosecutor,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jennifer Sprague identified as prosecutor by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_58,Defence,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Defence cluster identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_56,Other,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Other courtroom speaker,INCLUDE,
93sfJyLzhqM,SPEAKER_43,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 2 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_17,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Mixed witness and prosecutor cluster; requires row-level separation,EXCLUDE,Mixed legal roles cannot be safely assigned at cluster level
93sfJyLzhqM,SPEAKER_25,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 4 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_26,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Mixed witness and prosecutor cluster; requires row-level separation,EXCLUDE,Mixed legal roles cannot be safely assigned at cluster level
93sfJyLzhqM,SPEAKER_08,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 6 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_24,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 7 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_27,Other,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Other courtroom speaker,INCLUDE,
93sfJyLzhqM,SPEAKER_05,Judge,HIGH,NO,UNKNOWN,Judge,UNKNOWN,Judge identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_06,Judge,HIGH,NO,UNKNOWN,Judge,UNKNOWN,Judge identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_10,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 8 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_09,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 9 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_49,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 10 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_12,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New reader; excluded from corpus,EXCLUDE,New reader not required
93sfJyLzhqM,SPEAKER_47,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 11 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_02,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Possible defence cluster with news-related material; requires review,EXCLUDE,Possible mixed defence and news content
93sfJyLzhqM,SPEAKER_03,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Possible defence or other speaker; unresolved,EXCLUDE,Role is not sufficiently resolved
93sfJyLzhqM,SPEAKER_13,Witness,HIGH,YES,SPEAKING,Witness,UNKNOWN,Witness 12 identified by manual audio/video review,INCLUDE,
93sfJyLzhqM,SPEAKER_07,Other,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Other courtroom speaker,INCLUDE,
93sfJyLzhqM,SPEAKER_50,Other,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Other courtroom speaker,INCLUDE,
93sfJyLzhqM,SPEAKER_11,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,New reader; excluded from corpus,EXCLUDE,New reader not required
93sfJyLzhqM,SPEAKER_23,Other,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Other courtroom speaker,INCLUDE,
93sfJyLzhqM,SPEAKER_22,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_28,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_57,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_01,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_20,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_51,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_04,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_31,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_37,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_39,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_19,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_29,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
93sfJyLzhqM,SPEAKER_30,Other,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,One or two clips; likely news or break material,EXCLUDE,Insufficient evidence and likely non-testimony
