turn_id,youtube_id,source_url,title,raw_video_path,raw_subtitle_path,clip_video_path,clip_audio_path,turn_start_time,turn_end_time,clip_duration_seconds,turn_source_utterance_count,turn_text_preview,outlier_band,recommended_action
D6skXbDJJj8_turn05854,D6skXbDJJj8,https://www.youtube.com/live/D6skXbDJJj8,LIVE: Lindsay Clancy Murder Trial — MA v. Lindsay Clancy — Day 8,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-murder-trial-ma-v-lindsay-clancy-day-8/live-lindsay-clancy-murder-trial-ma-v-lindsay-clancy-day-8_D6skXbDJJj8.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-murder-trial-ma-v-lindsay-clancy-day-8/live-lindsay-clancy-murder-trial-ma-v-lindsay-clancy-day-8_D6skXbDJJj8.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D6skXbDJJj8/D6skXbDJJj8_turn05854.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D6skXbDJJj8/D6skXbDJJj8_turn05854.wav,06:38:19.861,06:40:50.117,150.256,137,"Thank you, your honor. Um, with regard to Dr. Condi, um, one of my points is going to be that his affidavit addresses the standard of care, which is more of the civil issue, but you've you've already addressed that with defense council's pi",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
D5L_c9Mla1U_turn03941,D5L_c9Mla1U,https://www.youtube.com/watch?v=D5L_c9Mla1U,LIVE: Lindsay Clancy trial Day 16,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-16/live-lindsay-clancy-trial-day-16_D5L_c9Mla1U.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-16/live-lindsay-clancy-trial-day-16_D5L_c9Mla1U.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D5L_c9Mla1U/D5L_c9Mla1U_turn03941.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D5L_c9Mla1U/D5L_c9Mla1U_turn03941.wav,01:50:40.809,01:53:03.964,143.155,5,"All right, we'll be in a a short recess at this time. Thank you. Order is back in session. You may be",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
DCBWoWhsTpA_turn05905,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/DCBWoWhsTpA/DCBWoWhsTpA_turn05905.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/DCBWoWhsTpA/DCBWoWhsTpA_turn05905.wav,00:00:23.372,00:02:41.509,138.137,17,"good morning, Miss Clancy. Um, all right. Before we bring the jury in, could I see everybody just for a few seconds? Hey. Hey. Hey hey all persons having anything to do before the honorable William Sullivan justice of the superior court now",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
DCBWoWhsTpA_turn06882,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/DCBWoWhsTpA/DCBWoWhsTpA_turn06882.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/DCBWoWhsTpA/DCBWoWhsTpA_turn06882.wav,02:33:12.191,02:35:28.151,135.960,97,"I don't remember the medication. Okay. Then [snorts] on the 18th, January 18th, again, you're reaching out and she says, Hi, Mom. I'm doing all right. How about you?"" And you say, ""You're you're good. You're thinking about visiting that wee",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
93sfJyLzhqM_turn02525,93sfJyLzhqM,https://www.youtube.com/live/93sfJyLzhqM,LIVE: MA v. Lindsay Clancy - Day 8 | Accused Killer Mom Trial,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial_93sfJyLzhqM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial_93sfJyLzhqM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02525.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02525.wav,04:04:41.870,04:06:55.703,133.833,25,"Come up. I see you over here just start the next witness for just a couple of minutes and we're going to break till 2 o'clock. So, I'm going to ask you to um be ready to come back here at 2 o'clock. Same instructions I've been giving you th",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
1tyKO8mTdOM_turn00964,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00964.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00964.wav,02:51:02.359,02:53:15.317,132.958,97,"Oh, well they're they're very very different. Um manual strangulation means that you have somebody has used their hand and they've pressed either side of the neck. Okay, that the hand is manual strangulation. Strangulation means that you ha",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
93sfJyLzhqM_turn02820,93sfJyLzhqM,https://www.youtube.com/live/93sfJyLzhqM,LIVE: MA v. Lindsay Clancy - Day 8 | Accused Killer Mom Trial,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial_93sfJyLzhqM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial_93sfJyLzhqM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02820.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02820.wav,04:50:32.972,04:52:45.583,132.611,117,"Yes. And this was the testimony that the jury ended on before they went to that lunch break. Now, this is in comparison, in contrast, with a very emotional day at the very beginning. They heard from the medical examiner who would have done ",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
1tyKO8mTdOM_turn00773,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00773.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00773.wav,02:05:22.477,02:07:34.651,132.174,37,"All right. Thank you, doctor. Let me sit down. Thank you. All right. So, members of the jury, what we're going to do is we're going to uh break at this point till 2:00. All right. And much of the next uh longer break, we'll be trying to res",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
D5L_c9Mla1U_turn04023,D5L_c9Mla1U,https://www.youtube.com/watch?v=D5L_c9Mla1U,LIVE: Lindsay Clancy trial Day 16,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-16/live-lindsay-clancy-trial-day-16_D5L_c9Mla1U.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-16/live-lindsay-clancy-trial-day-16_D5L_c9Mla1U.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D5L_c9Mla1U/D5L_c9Mla1U_turn04023.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D5L_c9Mla1U/D5L_c9Mla1U_turn04023.wav,02:04:09.209,02:06:19.523,130.314,41,"Um, it's up to you honor as to the guardier on MLAN hospital witness or Dr. Spanelli. I know. couple things you see in regards to timing of the jury, this is another one of those moments I've got to talk to council uh about a matter that I'",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
VQQb9BbgwHg_turn07193,VQQb9BbgwHg,https://www.youtube.com/watch?v=VQQb9BbgwHg,LIVE: Lindsay Clancy trial Day 17,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-17/live-lindsay-clancy-trial-day-17_VQQb9BbgwHg.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-17/live-lindsay-clancy-trial-day-17_VQQb9BbgwHg.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/VQQb9BbgwHg/VQQb9BbgwHg_turn07193.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/VQQb9BbgwHg/VQQb9BbgwHg_turn07193.wav,00:03:29.868,00:05:38.954,129.086,115,"All right. Thank you, madam clerk. Good morning, everyone. Nice to see you again. I know I just spoke to you probably about 10 minutes ago. Um, but again, I just I want to ask you those questions, then we'll talk a little bit about what our",HIGH_OVER_60_SECONDS,MANUAL_INSPECTION; split at pauses/sentences/speaker boundaries before training
