source_group_id,source_audio_path,speaker_cluster_id,manifest_turn_row_count,diarization_segment_count,diarization_segment_seconds,sample_utterance_ids,sample_time_ranges,sample_clip_video_paths,sample_clip_audio_paths,sample_text,role_label,role_confidence,witness_speaking_status
peYoD-JkAXE,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/dr-jennifer-tufts-psychiatrist-full-testimony-ma-v-lindsay-clancy/dr-jennifer-tufts-psychiatrist-full-testimony-ma-v-lindsay-clancy_peYoD-JkAXE.wav,SPEAKER_07,1116,2038,5310.638,peYoD-JkAXE_turn08885 | peYoD-JkAXE_turn08973 | peYoD-JkAXE_turn09621,00:35:54.686 -> 00:36:00.587 | 00:48:03.773 -> 00:48:07.661 | 02:07:36.260 -> 02:07:41.635,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08885.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08973.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn09621.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08885.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08973.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn09621.wav,I apologize. Can we know what related to this patient rather than somebody? || I apologize. Can you talk about Lindsay Clancy rather than in general? That's all || Good morning. Do you have your record in front of you? Your notes?,UNKNOWN,LOW,UNKNOWN
peYoD-JkAXE,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/dr-jennifer-tufts-psychiatrist-full-testimony-ma-v-lindsay-clancy/dr-jennifer-tufts-psychiatrist-full-testimony-ma-v-lindsay-clancy_peYoD-JkAXE.wav,SPEAKER_09,965,1206,4513.291,peYoD-JkAXE_turn08593 | peYoD-JkAXE_turn08598 | peYoD-JkAXE_turn08602,00:00:00.993 -> 00:00:05.782 | 00:00:18.382 -> 00:00:19.732 | 00:00:26.643 -> 00:00:27.612,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08593.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08598.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08602.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08593.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08598.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08602.wav,"Thank you, honor. Good afternoon. Can you please state and spell your name for the record? || Astro Mental Health. || I'm a psychiatrist.",UNKNOWN,LOW,UNKNOWN
peYoD-JkAXE,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/dr-jennifer-tufts-psychiatrist-full-testimony-ma-v-lindsay-clancy/dr-jennifer-tufts-psychiatrist-full-testimony-ma-v-lindsay-clancy_peYoD-JkAXE.wav,SPEAKER_02,810,1430,6395.481,peYoD-JkAXE_turn08594 | peYoD-JkAXE_turn08595 | peYoD-JkAXE_turn08596,00:00:05.782 -> 00:00:12.248 | 00:00:12.248 -> 00:00:14.600 | 00:00:14.600 -> 00:00:16.693,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08594.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08595.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/peYoD-JkAXE/peYoD-JkAXE_turn08596.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08594.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08595.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/peYoD-JkAXE/peYoD-JkAXE_turn08596.wav,"Jennifer Tufts. J E N I F E R T UFTS. || Your date of birth? || December 31st, 1989.",UNKNOWN,LOW,UNKNOWN
93sfJyLzhqM,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial_93sfJyLzhqM.wav,SPEAKER_21,667,889,2942.024,93sfJyLzhqM_turn01295 | 93sfJyLzhqM_turn01300 | 93sfJyLzhqM_turn01304,00:41:50.435 -> 00:41:58.550 | 00:43:47.358 -> 00:43:51.895 | 00:44:03.945 -> 00:44:05.610,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01295.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01300.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01304.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01295.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01300.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01304.wav,"Yes, your honor. The Commonwealth calls Dr. Kimberly Springer. || Thank you, your honor. Good morning. Can you please state and spell your name for the record? || And are you a medical medical examiner?",UNKNOWN,LOW,UNKNOWN
D6skXbDJJj8,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-murder-trial-ma-v-lindsay-clancy-day-8/live-lindsay-clancy-murder-trial-ma-v-lindsay-clancy-day-8_D6skXbDJJj8.wav,SPEAKER_02,563,763,2449.625,D6skXbDJJj8_turn04305 | D6skXbDJJj8_turn04309 | D6skXbDJJj8_turn04310,00:43:56.063 -> 00:43:59.807 | 00:44:12.054 -> 00:44:13.770 | 00:44:13.770 -> 00:44:14.370,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D6skXbDJJj8/D6skXbDJJj8_turn04305.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D6skXbDJJj8/D6skXbDJJj8_turn04309.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D6skXbDJJj8/D6skXbDJJj8_turn04310.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D6skXbDJJj8/D6skXbDJJj8_turn04305.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D6skXbDJJj8/D6skXbDJJj8_turn04309.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D6skXbDJJj8/D6skXbDJJj8_turn04310.wav,"Thank you, honor. Good morning. Can you please state and spell your name for the record? || And are you a med medical examiner? || I am.",UNKNOWN,LOW,UNKNOWN
1tyKO8mTdOM,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,SPEAKER_11,487,872,2993.458,1tyKO8mTdOM_turn00014 | 1tyKO8mTdOM_turn00016 | 1tyKO8mTdOM_turn00017,00:08:50.157 -> 00:09:49.911 | 00:09:57.913 -> 00:10:03.030 | 00:10:03.830 -> 00:10:04.430,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00014.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00016.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00017.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00014.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00016.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00017.wav,"Thank you. Uh, call uh, Sue Clancy, please. Good morning. || Good morning. || Thank you.",UNKNOWN,LOW,UNKNOWN
D5L_c9Mla1U,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-16/live-lindsay-clancy-trial-day-16_D5L_c9Mla1U.wav,SPEAKER_00,444,595,3051.756,D5L_c9Mla1U_turn03431 | D5L_c9Mla1U_turn03432 | D5L_c9Mla1U_turn03433,00:26:12.138 -> 00:26:14.630 | 00:26:18.070 -> 00:26:26.218 | 00:26:26.218 -> 00:26:40.766,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D5L_c9Mla1U/D5L_c9Mla1U_turn03431.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D5L_c9Mla1U/D5L_c9Mla1U_turn03432.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/D5L_c9Mla1U/D5L_c9Mla1U_turn03433.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D5L_c9Mla1U/D5L_c9Mla1U_turn03431.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D5L_c9Mla1U/D5L_c9Mla1U_turn03432.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/D5L_c9Mla1U/D5L_c9Mla1U_turn03433.wav,"Good morning. || So, um, yesterday when you, um, first took the stand, um, Attorney Bington asked you a little bit about your background. Recall that? || Yes. And um you in this in this field of being a psy a psychologist and a forensic psychologist you um circulate a curriculum vite where all that is outlined right?",UNKNOWN,LOW,UNKNOWN
DCBWoWhsTpA,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,SPEAKER_14,435,749,2255.198,DCBWoWhsTpA_turn06137 | DCBWoWhsTpA_turn06138 | DCBWoWhsTpA_turn06139,00:53:22.421 -> 00:53:26.156 | 00:53:26.156 -> 00:53:47.595 | 00:53:47.595 -> 00:53:48.923,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/DCBWoWhsTpA/DCBWoWhsTpA_turn06137.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/DCBWoWhsTpA/DCBWoWhsTpA_turn06138.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/DCBWoWhsTpA/DCBWoWhsTpA_turn06139.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/DCBWoWhsTpA/DCBWoWhsTpA_turn06137.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/DCBWoWhsTpA/DCBWoWhsTpA_turn06138.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/DCBWoWhsTpA/DCBWoWhsTpA_turn06139.wav,"Thank you, honor. Morning. Good morning. || Um Mr. Whiffen, just um a couple of things. One of the takeaways or question that I had is that you were talking about in reference to the Apple Health data. Um it's fair to say that there's an issue as to the accuracy or reliability of the || I've done research on it. Yes.",UNKNOWN,LOW,UNKNOWN
ZJd1Lk4w-qo,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/dr-alia-goodheart-psychiatrist-full-testimony-ma-v-lindsay-clancy/dr-alia-goodheart-psychiatrist-full-testimony-ma-v-lindsay-clancy_ZJd1Lk4w-qo.wav,SPEAKER_00,432,482,2117.448,ZJd1Lk4w-qo_turn07392 | ZJd1Lk4w-qo_turn07394 | ZJd1Lk4w-qo_turn07395,00:00:02.236 -> 00:00:07.398 | 00:00:44.770 -> 00:00:48.752 | 00:00:48.752 -> 00:00:49.352,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/ZJd1Lk4w-qo/ZJd1Lk4w-qo_turn07392.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/ZJd1Lk4w-qo/ZJd1Lk4w-qo_turn07394.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/ZJd1Lk4w-qo/ZJd1Lk4w-qo_turn07395.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/ZJd1Lk4w-qo/ZJd1Lk4w-qo_turn07392.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/ZJd1Lk4w-qo/ZJd1Lk4w-qo_turn07394.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/ZJd1Lk4w-qo/ZJd1Lk4w-qo_turn07395.wav,And um can you tell us a little bit about your educational background to be a psychiatrist? || are you licensed here in Massachusetts um to practice as a psychiatrist? || I am.,UNKNOWN,LOW,UNKNOWN
93sfJyLzhqM,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial/live-ma-v-lindsay-clancy-day-8-accused-killer-mom-trial_93sfJyLzhqM.wav,SPEAKER_58,323,603,2370.243,93sfJyLzhqM_turn01296 | 93sfJyLzhqM_turn01482 | 93sfJyLzhqM_turn01483,00:42:00.309 -> 00:42:03.294 | 01:40:39.063 -> 01:40:41.887 | 01:40:41.887 -> 01:40:50.155,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01296.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01482.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01483.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01296.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01482.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01483.wav,"Just for the record, we do the same objection. || Good morning. || Um what's the time frame that you dealt with um the Clancy children? Cuz you you took care of all three of them, right?",UNKNOWN,LOW,UNKNOWN
