turn_id,utterance_id,youtube_id,source_url,title,category,priority,subtitle_path,video_path,audio_path,split_group_id,split_strategy,split,emotion_label,emotion_label_source,emotion_label_confidence,review_flag,review_reason,usable_for_phase2,turn_text,utterance_text,turn_start_time,turn_end_time,turn_duration_seconds,duration_seconds,turn_boundary_type,turn_confidence,turn_marker_count,turn_piece_count,turn_piece_ids,turn_source_utterance_ids,turn_source_utterance_count
1tyKO8mTdOM_turn00001,1tyKO8mTdOM_turn00001,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,This court is now in session. May be seated.,This court is now in session. May be seated.,00:00:01.510,00:00:04.930,3.420,3.420,initial,MEDIUM,0,4,"1tyKO8mTdOM_utt00002#p01,1tyKO8mTdOM_utt00003#p01,1tyKO8mTdOM_utt00004#p01,1tyKO8mTdOM_utt00005#p01","1tyKO8mTdOM_utt00002,1tyKO8mTdOM_utt00003,1tyKO8mTdOM_utt00004,1tyKO8mTdOM_utt00005",4
1tyKO8mTdOM_turn00002,1tyKO8mTdOM_turn00002,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,"Yes, please.","Yes, please.",00:00:04.930,00:00:08.710,3.780,3.780,marker,HIGH,1,1,1tyKO8mTdOM_utt00005#p02,1tyKO8mTdOM_utt00005,1
1tyKO8mTdOM_turn00003,1tyKO8mTdOM_turn00003,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,Attorney is represented by assistant district attorney general Frank and assistant district attorney Shannon Buckingham. All,Attorney,00:00:10.870,00:00:15.701,4.831,4.831,marker,MEDIUM,1,10,"1tyKO8mTdOM_utt00008#p01,1tyKO8mTdOM_utt00009#p01,1tyKO8mTdOM_utt00010#p01,1tyKO8mTdOM_utt00011#p01,1tyKO8mTdOM_utt00012#p01,1tyKO8mTdOM_utt00013#p01,1tyKO8mTdOM_utt00014#p01,1tyKO8mTdOM_utt00015#p01,1tyKO8mTdOM_utt00016#p01,1tyKO8mTdOM_utt00017#p01","1tyKO8mTdOM_utt00008,1tyKO8mTdOM_utt00009,1tyKO8mTdOM_utt00010,1tyKO8mTdOM_utt00011,1tyKO8mTdOM_utt00012,1tyKO8mTdOM_utt00013,1tyKO8mTdOM_utt00014,1tyKO8mTdOM_utt00015,1tyKO8mTdOM_utt00016,1tyKO8mTdOM_utt00017",10
1tyKO8mTdOM_turn00004,1tyKO8mTdOM_turn00004,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,"right. Well, good morning everyone. Good morning, council.","right. Well, good morning everyone. Good",00:00:15.701,00:00:18.903,3.202,3.202,marker,MEDIUM,1,5,"1tyKO8mTdOM_utt00017#p02,1tyKO8mTdOM_utt00018#p01,1tyKO8mTdOM_utt00019#p01,1tyKO8mTdOM_utt00020#p01,1tyKO8mTdOM_utt00021#p01","1tyKO8mTdOM_utt00017,1tyKO8mTdOM_utt00018,1tyKO8mTdOM_utt00019,1tyKO8mTdOM_utt00020,1tyKO8mTdOM_utt00021",5
1tyKO8mTdOM_turn00005,1tyKO8mTdOM_turn00005,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,"Good morning, Miss Clancy.","Good morning, Miss Clancy.",00:00:18.903,00:00:21.037,2.134,2.134,marker,MEDIUM,1,3,"1tyKO8mTdOM_utt00021#p02,1tyKO8mTdOM_utt00022#p01,1tyKO8mTdOM_utt00023#p01","1tyKO8mTdOM_utt00021,1tyKO8mTdOM_utt00022,1tyKO8mTdOM_utt00023",3
1tyKO8mTdOM_turn00006,1tyKO8mTdOM_turn00006,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,"All right. Um, before we start, could I see everybody talk about today's schedule? All right, C. We ready for the jury?","All right. Um, before we start, could I",00:00:21.037,00:00:37.618,16.581,16.581,marker,MEDIUM,1,7,"1tyKO8mTdOM_utt00023#p02,1tyKO8mTdOM_utt00024#p01,1tyKO8mTdOM_utt00025#p01,1tyKO8mTdOM_utt00026#p01,1tyKO8mTdOM_utt00027#p01,1tyKO8mTdOM_utt00030#p01,1tyKO8mTdOM_utt00031#p01","1tyKO8mTdOM_utt00023,1tyKO8mTdOM_utt00024,1tyKO8mTdOM_utt00025,1tyKO8mTdOM_utt00026,1tyKO8mTdOM_utt00027,1tyKO8mTdOM_utt00030,1tyKO8mTdOM_utt00031",7
1tyKO8mTdOM_turn00007,1tyKO8mTdOM_turn00007,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,Yes. We have another matter of compliance. I'm going to send it to court. All right. Hey. Hey. He all persons having anything to do before the honorable William Sullivan justice of the superior court now sitting in with him before the Commonwealth. Draw on near and give your attendance and you shall be heard. God save the Commonwealth of Massachusetts. This court is now in session. Please be seated.,Yes.,00:00:37.618,00:02:05.910,88.292,88.292,marker,MEDIUM,1,24,"1tyKO8mTdOM_utt00031#p02,1tyKO8mTdOM_utt00032#p01,1tyKO8mTdOM_utt00033#p01,1tyKO8mTdOM_utt00033#p02,1tyKO8mTdOM_utt00038#p01,1tyKO8mTdOM_utt00039#p01,1tyKO8mTdOM_utt00040#p01,1tyKO8mTdOM_utt00041#p01,1tyKO8mTdOM_utt00044#p01,1tyKO8mTdOM_utt00045#p01,1tyKO8mTdOM_utt00046#p01,1tyKO8mTdOM_utt00047#p01,1tyKO8mTdOM_utt00048#p01,1tyKO8mTdOM_utt00049#p01,1tyKO8mTdOM_utt00050#p01,1tyKO8mTdOM_utt00051#p01,1tyKO8mTdOM_utt00052#p01,1tyKO8mTdOM_utt00053#p01,1tyKO8mTdOM_utt00054#p01,1tyKO8mTdOM_utt00055#p01,1tyKO8mTdOM_utt00056#p01,1tyKO8mTdOM_utt00057#p01,1tyKO8mTdOM_utt00058#p01,1tyKO8mTdOM_utt00059#p01","1tyKO8mTdOM_utt00031,1tyKO8mTdOM_utt00032,1tyKO8mTdOM_utt00033,1tyKO8mTdOM_utt00038,1tyKO8mTdOM_utt00039,1tyKO8mTdOM_utt00040,1tyKO8mTdOM_utt00041,1tyKO8mTdOM_utt00044,1tyKO8mTdOM_utt00045,1tyKO8mTdOM_utt00046,1tyKO8mTdOM_utt00047,1tyKO8mTdOM_utt00048,1tyKO8mTdOM_utt00049,1tyKO8mTdOM_utt00050,1tyKO8mTdOM_utt00051,1tyKO8mTdOM_utt00052,1tyKO8mTdOM_utt00053,1tyKO8mTdOM_utt00054,1tyKO8mTdOM_utt00055,1tyKO8mTdOM_utt00056,1tyKO8mTdOM_utt00057,1tyKO8mTdOM_utt00058,1tyKO8mTdOM_utt00059",23
1tyKO8mTdOM_turn00008,1tyKO8mTdOM_turn00008,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,Good morning.,Good morning.,00:02:07.510,00:02:08.595,1.085,1.085,marker,MEDIUM,1,2,"1tyKO8mTdOM_utt00062#p01,1tyKO8mTdOM_utt00063#p01","1tyKO8mTdOM_utt00062,1tyKO8mTdOM_utt00063",2
1tyKO8mTdOM_turn00009,1tyKO8mTdOM_turn00009,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,"Yes, please. We have a continuation of a jury trial matter. Miss Clancy is present. She is attorney and the commonwealth is represented by assistant district attorney general and assistant district attorney.","Yes, please.",00:02:08.595,00:02:24.005,15.410,15.410,marker,MEDIUM,1,15,"1tyKO8mTdOM_utt00063#p02,1tyKO8mTdOM_utt00064#p01,1tyKO8mTdOM_utt00065#p01,1tyKO8mTdOM_utt00066#p01,1tyKO8mTdOM_utt00067#p01,1tyKO8mTdOM_utt00068#p01,1tyKO8mTdOM_utt00069#p01,1tyKO8mTdOM_utt00070#p01,1tyKO8mTdOM_utt00071#p01,1tyKO8mTdOM_utt00072#p01,1tyKO8mTdOM_utt00073#p01,1tyKO8mTdOM_utt00074#p01,1tyKO8mTdOM_utt00075#p01,1tyKO8mTdOM_utt00076#p01,1tyKO8mTdOM_utt00077#p01","1tyKO8mTdOM_utt00063,1tyKO8mTdOM_utt00064,1tyKO8mTdOM_utt00065,1tyKO8mTdOM_utt00066,1tyKO8mTdOM_utt00067,1tyKO8mTdOM_utt00068,1tyKO8mTdOM_utt00069,1tyKO8mTdOM_utt00070,1tyKO8mTdOM_utt00071,1tyKO8mTdOM_utt00072,1tyKO8mTdOM_utt00073,1tyKO8mTdOM_utt00074,1tyKO8mTdOM_utt00075,1tyKO8mTdOM_utt00076,1tyKO8mTdOM_utt00077",15
1tyKO8mTdOM_turn00010,1tyKO8mTdOM_turn00010,1tyKO8mTdOM,https://www.youtube.com/live/1tyKO8mTdOM,LIVE: Lindsay Clancy trial Day 15,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-15/live-lindsay-clancy-trial-day-15_1tyKO8mTdOM.wav,1tyKO8mTdOM,group_by_youtube_id,train,neutral,text_keyword_heuristic,LOW,NO,neutral default,YES,"Hi. Thank you madam clerk. Well, good morning everyone.","Hi. Thank you madam clerk. Well, good",00:02:24.005,00:02:28.075,4.070,4.070,marker,MEDIUM,1,5,"1tyKO8mTdOM_utt00077#p02,1tyKO8mTdOM_utt00078#p01,1tyKO8mTdOM_utt00079#p01,1tyKO8mTdOM_utt00080#p01,1tyKO8mTdOM_utt00081#p01","1tyKO8mTdOM_utt00077,1tyKO8mTdOM_utt00078,1tyKO8mTdOM_utt00079,1tyKO8mTdOM_utt00080,1tyKO8mTdOM_utt00081",5
