utterance_id,emotion_label,emotion_label_source,emotion_label_confidence,review_flag,review_reason
DCBWoWhsTpA_utt00002,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00003,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00004,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00005,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00006,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00007,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00008,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00009,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00010,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00011,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00012,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00013,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00014,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00015,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00016,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00017,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00018,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00019,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00020,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00021,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00022,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00023,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00024,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00025,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00026,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00027,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00028,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00029,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00030,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00031,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00032,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00033,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00034,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00035,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00042,neutral,text_keyword_heuristic,LOW,NO,neutral default
DCBWoWhsTpA_utt00043,neutral,text_keyword_heuristic,LOW,NO,neutral default
