utterance_id,manifest_id,tribunal,case_name,speaker_role,speaker_name,utterance_text,start_time,end_time,video_path,audio_path,emotion_label,credibility_label,question_type,cross_examination_flag,split
icty_karadzic_nan_nan_1_utt00001,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,<!doctype html>,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00002,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<html class=""no-js"" lang=""en"">",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00003,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,<head>,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00004,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<meta charset=""utf-8"">",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00005,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<meta http-equiv=""x-ua-compatible"" content=""ie=edge"">",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00006,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00007,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<title lang=""eng"">Unified Court Records Database</title>",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00008,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<meta name=""Description"" CONTENT=""The Unified Court Records (UCR) database provides access to the public court records of the ICTR, the ICTY and the IRMCT."">",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00009,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,<link rel='icon' type='image/x-icon' href='/favicon.ico' />,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00010,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,<link rel='shortcut icon' type='image/x-icon' href='/favicon.ico' />,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00011,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,<!-- Global site tag (gtag.js) - Google Analytics -->,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00012,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,"<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-8225882-2""></script>",,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00013,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,<script>,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
icty_karadzic_nan_nan_1_utt00014,icty_karadzic_nan_nan_1,ICTY,Karadzic,Witness,,window.dataLayer = window.dataLayer || [];,,,/workspace/LegalMemoCMT/data/raw/videos/icty_karadzic_nan_nan_1.mp4,,neutral,consistent,open,0,train
