source_group_id,source_audio_path,speaker_cluster_id,manifest_turn_row_count,turn_row_duration_seconds,turn_row_duration_minutes,turn_interval_union_seconds,diarization_segment_count,diarization_segment_seconds,sample_utterance_ids,sample_time_ranges,sample_clip_video_paths,sample_clip_audio_paths,sample_text,role_label,role_confidence,witness_speaking_status
EA-DSbYev9I,,SPEAKER_29,656,4007.903,66.798,4007.903,0,0.000,EA-DSbYev9I_turn00912 | EA-DSbYev9I_turn00913 | EA-DSbYev9I_turn00914,01:04:07.780 -> 01:04:08.586 | 01:04:08.586 -> 01:04:09.090 | 01:04:09.090 -> 01:04:10.115,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav,Dr. G. Morning. || Good morning. || How are you doing?,UNKNOWN,LOW,UNKNOWN
Wt1h7rnCvZQ,,SPEAKER_08,610,4265.857,71.098,4265.857,0,0.000,Wt1h7rnCvZQ_turn04119 | Wt1h7rnCvZQ_turn04137 | Wt1h7rnCvZQ_turn04138,00:57:00.534 -> 00:57:03.265 | 00:58:19.595 -> 00:58:21.392 | 00:58:21.392 -> 00:58:23.832,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav,"Just for the record with exhibit number, || Pass examination. Mr. Sant. || Yes, sir. Thank you, Dr. G. Morning.",UNKNOWN,LOW,UNKNOWN
gozVH0bYxzY,,SPEAKER_17,602,4529.737,75.496,4529.737,0,0.000,gozVH0bYxzY_turn06443 | gozVH0bYxzY_turn06444 | gozVH0bYxzY_turn06445,01:03:19.355 -> 01:03:21.730 | 01:03:21.730 -> 01:03:22.715 | 01:03:22.715 -> 01:03:24.050,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav,"Yes, sir. Thank you, Dr. Good morning. || How are you doing? || Good. How are you?",UNKNOWN,LOW,UNKNOWN
EA-DSbYev9I,,SPEAKER_02,464,9855.950,164.266,9855.950,0,0.000,EA-DSbYev9I_turn00418 | EA-DSbYev9I_turn00419 | EA-DSbYev9I_turn00426,00:07:36.034 -> 00:07:37.618 | 00:07:37.618 -> 00:08:57.223 | 00:09:06.058 -> 00:09:40.075,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav,"Bring the jury. || For all of you just um popping into this || They're just like, ""No, we're good.""",UNKNOWN,LOW,UNKNOWN
EA-DSbYev9I,,SPEAKER_26,414,2234.660,37.244,2234.660,0,0.000,EA-DSbYev9I_turn02145 | EA-DSbYev9I_turn02146 | EA-DSbYev9I_turn02149,04:37:04.074 -> 04:37:08.562 | 04:37:08.562 -> 04:37:08.860 | 04:38:30.316 -> 04:38:35.042,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav,"Thank you, honor. Mr. McDonald, it's || Correct. || Thank you, honor. Mr. McDonald, it's",UNKNOWN,LOW,UNKNOWN
gozVH0bYxzY,,SPEAKER_15,355,2302.371,38.373,2302.371,0,0.000,gozVH0bYxzY_turn07364 | gozVH0bYxzY_turn07365 | gozVH0bYxzY_turn07366,05:04:12.237 -> 05:04:16.951 | 05:04:16.951 -> 05:04:17.252 | 05:04:17.252 -> 05:04:20.314,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav,"Thank you, honor. Mr. McDonald, it's || Correct. || Um that you didn't volunteer to come or",UNKNOWN,LOW,UNKNOWN
EA-DSbYev9I,,SPEAKER_39,346,1901.689,31.695,1901.689,0,0.000,EA-DSbYev9I_turn00428 | EA-DSbYev9I_turn00749 | EA-DSbYev9I_turn00753,00:09:52.769 -> 00:09:55.225 | 00:38:49.599 -> 00:38:58.052 | 00:39:07.278 -> 00:39:10.610,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav,"We're going to finish that recording and || Did you have a field training officer in || Um, do crime scene analysts respond to",UNKNOWN,LOW,UNKNOWN
Wt1h7rnCvZQ,,SPEAKER_07,326,1915.895,31.932,1915.895,0,0.000,Wt1h7rnCvZQ_turn04960 | Wt1h7rnCvZQ_turn04961 | Wt1h7rnCvZQ_turn04962,04:59:14.877 -> 04:59:19.591 | 04:59:19.591 -> 04:59:19.804 | 04:59:19.804 -> 04:59:23.113,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav,"Thank you, honor. Mr. McDonald, it's || Correct. || Um, that you [clears throat] didn't",UNKNOWN,LOW,UNKNOWN
lOcZ_IJbM3I,,SPEAKER_02,299,1630.664,27.178,1630.664,0,0.000,lOcZ_IJbM3I_turn08413 | lOcZ_IJbM3I_turn08414 | lOcZ_IJbM3I_turn08415,00:01:30.990 -> 00:01:32.194 | 00:01:32.194 -> 00:01:33.615 | 00:01:33.615 -> 00:01:34.506,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.wav,"Good afternoon, sir. || Do you mind if I call you Reggie? || Yeah, of course.",UNKNOWN,LOW,UNKNOWN
EA-DSbYev9I,,SPEAKER_15,286,2682.260,44.704,2682.260,0,0.000,EA-DSbYev9I_turn02637 | EA-DSbYev9I_turn02645 | EA-DSbYev9I_turn02646,05:57:51.275 -> 05:58:07.195 | 05:58:42.652 -> 05:58:45.514 | 05:58:45.514 -> 05:58:53.875,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav,"Original Libert Wright Jr. || Okay. Um sir, where did you grow up? || I grew up in the city of Compton,",UNKNOWN,LOW,UNKNOWN
