turn_id,utterance_id,youtube_id,source_url,title,category,priority,subtitle_path,video_path,audio_path,split_group_id,split_strategy,split,emotion_label,emotion_label_source,emotion_label_confidence,review_flag,review_reason,usable_for_phase2,turn_text,utterance_text,turn_start_time,turn_end_time,turn_duration_seconds,duration_seconds,turn_boundary_type,turn_confidence,turn_marker_count,turn_piece_count,turn_piece_ids,turn_source_utterance_ids,turn_source_utterance_count,speaker_cluster_id,speaker_cluster_overlap_seconds,speaker_cluster_source,speaker_role,speaker_role_source,speaker_role_confidence,corpus_exclusion_status,corpus_exclusion_reason
DiurriBQxVs_turn00001,DiurriBQxVs_turn00001,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Thank you. Mr. Wright, have you and I ever met?","Thank you. Mr. Wright, have you and I ever met?",00:00:01.030,00:00:05.338,4.308,4.308,initial,MEDIUM,0,4,"DiurriBQxVs_utt00002#p01,DiurriBQxVs_utt00003#p01,DiurriBQxVs_utt00004#p01,DiurriBQxVs_utt00005#p01","DiurriBQxVs_utt00002,DiurriBQxVs_utt00003,DiurriBQxVs_utt00004,DiurriBQxVs_utt00005",4,SPEAKER_05,1.549,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00002,DiurriBQxVs_turn00002,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Uh no, sir.","Uh no, sir.",00:00:05.338,00:00:06.230,0.892,0.892,marker,HIGH,1,1,DiurriBQxVs_utt00005#p02,DiurriBQxVs_utt00005,1,UNKNOWN,0.000,unresolved,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00003,DiurriBQxVs_turn00003,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"You have a podcast, I believe, right?",You have a,00:00:07.590,00:00:10.560,2.970,2.970,marker,MEDIUM,1,4,"DiurriBQxVs_utt00008#p01,DiurriBQxVs_utt00009#p01,DiurriBQxVs_utt00010#p01,DiurriBQxVs_utt00011#p01","DiurriBQxVs_utt00008,DiurriBQxVs_utt00009,DiurriBQxVs_utt00010,DiurriBQxVs_utt00011",4,SPEAKER_05,1.385,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00004,DiurriBQxVs_turn00004,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,Uh YouTube channel that I that I talk on.,Uh YouTube channel that I,00:00:10.560,00:00:15.204,4.644,4.644,marker,MEDIUM,1,5,"DiurriBQxVs_utt00011#p02,DiurriBQxVs_utt00012#p01,DiurriBQxVs_utt00013#p01,DiurriBQxVs_utt00014#p01,DiurriBQxVs_utt00015#p01","DiurriBQxVs_utt00011,DiurriBQxVs_utt00012,DiurriBQxVs_utt00013,DiurriBQxVs_utt00014,DiurriBQxVs_utt00015",5,SPEAKER_00,1.096,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00005,DiurriBQxVs_turn00005,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Uh I'm sure you probably anticipating the next question. Um in your YouTube channel, you have spoken a little bit about uh me, for instance, right?",Uh I'm sure you probably anticipating,00:00:15.204,00:00:24.953,9.749,9.749,marker,MEDIUM,1,9,"DiurriBQxVs_utt00015#p02,DiurriBQxVs_utt00016#p01,DiurriBQxVs_utt00017#p01,DiurriBQxVs_utt00018#p01,DiurriBQxVs_utt00019#p01,DiurriBQxVs_utt00020#p01,DiurriBQxVs_utt00021#p01,DiurriBQxVs_utt00022#p01,DiurriBQxVs_utt00023#p01","DiurriBQxVs_utt00015,DiurriBQxVs_utt00016,DiurriBQxVs_utt00017,DiurriBQxVs_utt00018,DiurriBQxVs_utt00019,DiurriBQxVs_utt00020,DiurriBQxVs_utt00021,DiurriBQxVs_utt00022,DiurriBQxVs_utt00023",9,SPEAKER_05,4.439,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00006,DiurriBQxVs_turn00006,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,Uh that's correct. Um and you have spoke about me as well.,Uh that's correct.,00:00:24.953,00:00:30.555,5.602,5.602,marker,MEDIUM,1,5,"DiurriBQxVs_utt00023#p02,DiurriBQxVs_utt00024#p01,DiurriBQxVs_utt00025#p01,DiurriBQxVs_utt00026#p01,DiurriBQxVs_utt00027#p01","DiurriBQxVs_utt00023,DiurriBQxVs_utt00024,DiurriBQxVs_utt00025,DiurriBQxVs_utt00026,DiurriBQxVs_utt00027",5,SPEAKER_00,2.683,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00007,DiurriBQxVs_turn00007,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Yeah. So, in terms of um your podcast or YouTube channel, um and once again, I don't think it was anything derogatory. It's more like uh he's never tried a criminal case or I think Hollywood ass attorney. I think you had said something like that, right?","Yeah. So, in terms of um your podcast or",00:00:30.555,00:00:45.174,14.619,14.619,marker,MEDIUM,1,15,"DiurriBQxVs_utt00027#p02,DiurriBQxVs_utt00028#p01,DiurriBQxVs_utt00029#p01,DiurriBQxVs_utt00030#p01,DiurriBQxVs_utt00031#p01,DiurriBQxVs_utt00032#p01,DiurriBQxVs_utt00033#p01,DiurriBQxVs_utt00034#p01,DiurriBQxVs_utt00035#p01,DiurriBQxVs_utt00036#p01,DiurriBQxVs_utt00037#p01,DiurriBQxVs_utt00038#p01,DiurriBQxVs_utt00039#p01,DiurriBQxVs_utt00040#p01,DiurriBQxVs_utt00041#p01","DiurriBQxVs_utt00027,DiurriBQxVs_utt00028,DiurriBQxVs_utt00029,DiurriBQxVs_utt00030,DiurriBQxVs_utt00031,DiurriBQxVs_utt00032,DiurriBQxVs_utt00033,DiurriBQxVs_utt00034,DiurriBQxVs_utt00035,DiurriBQxVs_utt00036,DiurriBQxVs_utt00037,DiurriBQxVs_utt00038,DiurriBQxVs_utt00039,DiurriBQxVs_utt00040,DiurriBQxVs_utt00041",15,SPEAKER_05,10.023,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00008,DiurriBQxVs_turn00008,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Well, you had about 10 interviews in the last 2 months, so I may have said something like that.","Well, you had about 10 interviews in the",00:00:45.174,00:00:50.010,4.836,4.836,marker,MEDIUM,1,7,"DiurriBQxVs_utt00041#p02,DiurriBQxVs_utt00042#p01,DiurriBQxVs_utt00043#p01,DiurriBQxVs_utt00044#p01,DiurriBQxVs_utt00045#p01,DiurriBQxVs_utt00046#p01,DiurriBQxVs_utt00047#p01","DiurriBQxVs_utt00041,DiurriBQxVs_utt00042,DiurriBQxVs_utt00043,DiurriBQxVs_utt00044,DiurriBQxVs_utt00045,DiurriBQxVs_utt00046,DiurriBQxVs_utt00047",7,SPEAKER_00,2.394,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00009,DiurriBQxVs_turn00009,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Now, in terms of your um podcast stuff, it's uh it's very It's pretty good point. At some point, uh you would actually instructed Keefe D that, Hey, he can actually make money doing the YouTube stuff."" Remember that?","Now, in terms of your um",00:00:50.010,00:01:03.292,13.282,13.282,marker,MEDIUM,1,13,"DiurriBQxVs_utt00047#p02,DiurriBQxVs_utt00048#p01,DiurriBQxVs_utt00049#p01,DiurriBQxVs_utt00050#p01,DiurriBQxVs_utt00051#p01,DiurriBQxVs_utt00052#p01,DiurriBQxVs_utt00053#p01,DiurriBQxVs_utt00054#p01,DiurriBQxVs_utt00055#p01,DiurriBQxVs_utt00056#p01,DiurriBQxVs_utt00057#p01,DiurriBQxVs_utt00058#p01,DiurriBQxVs_utt00059#p01","DiurriBQxVs_utt00047,DiurriBQxVs_utt00048,DiurriBQxVs_utt00049,DiurriBQxVs_utt00050,DiurriBQxVs_utt00051,DiurriBQxVs_utt00052,DiurriBQxVs_utt00053,DiurriBQxVs_utt00054,DiurriBQxVs_utt00055,DiurriBQxVs_utt00056,DiurriBQxVs_utt00057,DiurriBQxVs_utt00058,DiurriBQxVs_utt00059",13,SPEAKER_05,4.135,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
DiurriBQxVs_turn00010,DiurriBQxVs_turn00010,DiurriBQxVs,,,,,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,,,,,,,,,YES,"Uh it didn't go quite like that, but I did pass his number to a a few YouTube channels after he and I had this discussion about doing um something on my channel, but I refused to pay him. Cuz I'm not giving someone I believe is Tupac's killer money.",Uh,00:01:03.292,00:01:21.700,18.408,18.408,marker,MEDIUM,1,21,"DiurriBQxVs_utt00059#p02,DiurriBQxVs_utt00060#p01,DiurriBQxVs_utt00061#p01,DiurriBQxVs_utt00062#p01,DiurriBQxVs_utt00063#p01,DiurriBQxVs_utt00064#p01,DiurriBQxVs_utt00065#p01,DiurriBQxVs_utt00066#p01,DiurriBQxVs_utt00067#p01,DiurriBQxVs_utt00068#p01,DiurriBQxVs_utt00069#p01,DiurriBQxVs_utt00070#p01,DiurriBQxVs_utt00071#p01,DiurriBQxVs_utt00072#p01,DiurriBQxVs_utt00073#p01,DiurriBQxVs_utt00074#p01,DiurriBQxVs_utt00075#p01,DiurriBQxVs_utt00076#p01,DiurriBQxVs_utt00077#p01,DiurriBQxVs_utt00078#p01,DiurriBQxVs_utt00079#p01","DiurriBQxVs_utt00059,DiurriBQxVs_utt00060,DiurriBQxVs_utt00061,DiurriBQxVs_utt00062,DiurriBQxVs_utt00063,DiurriBQxVs_utt00064,DiurriBQxVs_utt00065,DiurriBQxVs_utt00066,DiurriBQxVs_utt00067,DiurriBQxVs_utt00068,DiurriBQxVs_utt00069,DiurriBQxVs_utt00070,DiurriBQxVs_utt00071,DiurriBQxVs_utt00072,DiurriBQxVs_utt00073,DiurriBQxVs_utt00074,DiurriBQxVs_utt00075,DiurriBQxVs_utt00076,DiurriBQxVs_utt00077,DiurriBQxVs_utt00078,DiurriBQxVs_utt00079",21,SPEAKER_00,4.219,pyannote/speaker-diarization-3.1,UNKNOWN,unresolved,LOW,,
