utterance_id,youtube_id,source_url,title,category,priority,subtitle_path,video_path,audio_path,cue_index,start_time,end_time,duration_seconds,utterance_text,usable_for_phase2,split_group_id,split_strategy,split,emotion_label,emotion_label_source,emotion_label_confidence,review_flag,review_reason
DCBWoWhsTpA_utt00321,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,321,00:08:06.560,00:08:10.230,3.67,"other tools is designed to take that extracted data uh decode it, decrypt it,",YES,DCBWoWhsTpA,group_by_youtube_id,dev,sadness,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00322,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,322,00:08:10.230,00:08:10.240,0.01,"extracted data uh decode it, decrypt it,",YES,DCBWoWhsTpA,group_by_youtube_id,dev,sadness,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00323,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,323,00:08:10.240,00:08:12.550,2.31,"extracted data uh decode it, decrypt it, make sense of it and provide it to the",YES,DCBWoWhsTpA,group_by_youtube_id,dev,sadness,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00343,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,343,00:08:39.440,00:08:41.509,2.069,being made to devices which make it uh difficult to extract the data. There are,YES,DCBWoWhsTpA,group_by_youtube_id,dev,stress,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00344,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,344,00:08:41.509,00:08:41.519,0.01,difficult to extract the data. There are,YES,DCBWoWhsTpA,group_by_youtube_id,dev,stress,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00345,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,345,00:08:41.519,00:08:43.350,1.831,difficult to extract the data. There are changes being made to the software that,YES,DCBWoWhsTpA,group_by_youtube_id,dev,stress,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00663,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,663,00:15:04.880,00:15:05.829,0.949,all of the heart rate data which is recorded [clears throat],YES,DCBWoWhsTpA,group_by_youtube_id,dev,confidence,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00664,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,664,00:15:05.829,00:15:05.839,0.01,recorded [clears throat],YES,DCBWoWhsTpA,group_by_youtube_id,dev,confidence,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00665,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,665,00:15:05.839,00:15:08.710,2.871,recorded [clears throat] periodically throughout the day uh is,YES,DCBWoWhsTpA,group_by_youtube_id,dev,confidence,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00883,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,883,00:19:34.240,00:19:35.510,1.27,measuring for differences in air pressure.,YES,DCBWoWhsTpA,group_by_youtube_id,dev,stress,text_keyword_heuristic,HIGH,YES,keyword match
DCBWoWhsTpA_utt00884,DCBWoWhsTpA,https://www.youtube.com/live/DCBWoWhsTpA,LIVE: Lindsay Clancy trial Day 14,full_trial_stream,5,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.en.vtt,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/clancy/corpus/raw/live-lindsay-clancy-trial-day-14/live-lindsay-clancy-trial-day-14_DCBWoWhsTpA.wav,884,00:19:35.510,00:19:35.520,0.01,pressure.,YES,DCBWoWhsTpA,group_by_youtube_id,dev,stress,text_keyword_heuristic,HIGH,YES,keyword match
